#,Name,State,Violent Crime Rates (2018),"VCR per 100,000 People",% Change (2010-2020)
70,Jersey City,New Jersey,1233,467.31,18.10
63,Santa Ana,California,1571,473.32,-4.31
141,Tempe,Arizona,913,476.15,11.16
13,Columbus,Ohio,4416,495.70,15.07
46,Tulsa,Oklahoma,1895,496.44,5.24
12,Fort Worth,Texas,4482,501.78,23.90
60,Riverside,California,1686,511.45,3.45
97,Richmond,Virginia,1190,519.15,10.97
24,Portland,Oregon,3418,525.17,11.70
137,Newport News,Virginia,942,527.66,3.06
0,New York City,New York,46113,549.61,7.69
37,Atlanta,Georgia,2628,550.60,18.71
138,Fort Lauderdale,Florida,1006,552.44,10.45
38,Omaha,Nebraska,2617,553.78,19.97
31,Albuquerque,New Mexico,2953,558.42,3.43
169,Pomona,California,877,577.26,1.67
67,Pittsburgh,Pennsylvania,1751,582.56,-0.83
11,Jacksonville,Florida,5381,596.27,15.55
118,Montgomery,Alabama,1216,611.37,-2.53
23,Boston,Massachusetts,4324,625.63,9.49
84,St. Petersburg,Florida,1660,627.68,5.52
157,Salinas,California,981,630.27,8.80
6,San Antonio,Texas,9647,630.52,8.05
61,St. Paul,Minnesota,1941,632.33,9.25
42,Virginia Beach,Virginia,2978,643.45,4.90
176,Bridgeport,Connecticut,945,652.75,3.09
82,Reno,Nevada,1636,654.02,16.97
33,Tucson,Arizona,3329,655.65,4.08
121,Grand Rapids,Michigan,1313,656.05,5.56
156,Clarksville,Tennessee,1041,665.70,25.36
110,Columbus,Georgia,1303,671.06,8.97
177,Savannah,Georgia,982,673.45,8.66
17,Seattle,Washington,5052,680.65,20.78
111,Worcester,Massachusetts,1271,684.97,14.12
16,San Francisco,California,6144,697.63,8.54
179,Syracuse,New York,1006,704.75,1.51
40,Raleigh,North Carolina,3284,704.93,15.77
53,Cleveland,Ohio,2451,706.45,-5.98
104,Des Moines,Iowa,1555,719.93,5.26
49,Arlington,Texas,2716,725.09,7.88
32,Fresno,California,3958,726.43,9.60
125,Tallahassee,Florida,1404,728.36,8.10
4,Phoenix,Arizona,12110,731.87,11.21
62,Newark,New Jersey,2069,734.33,12.17
18,Denver,Colorado,5262,734.64,19.22
120,Salt Lake City,Utah,1480,738.39,6.60
159,Paterson,New Jersey,1076,739.04,9.22
74,Durham,North Carolina,2046,745.20,24.18
55,Anaheim,California,4640,750.21,3.20
150,Lancaster,California,1193,752.10,10.64
1,Los Angeles,California,30126,757.39,2.67
58,Corpus Christi,Texas,2488,762.47,4.17
36,Mesa,Arizona,3814,765.58,14.91
8,Dallas,Texas,10422,776.72,8.90
106,Rochester,New York,1615,783.97,0.32
