#,Name,State,% Car,% No Car,% Carpooled,% Public Transportation,% Walked,% Misc Transportation,% Work From Home,% Change (2010-2020)
110,Columbus,Georgia,82.42,17.58,8.80,0.90,0.88,2.74,4.27,8.97
111,Worcester,Massachusetts,71.42,28.58,11.15,2.98,5.13,2.81,6.51,14.12
112,Port St. Lucie,Florida,81.43,18.57,9.54,0.16,1.74,1.94,5.19,24.49
113,Little Rock,Arkansas,81.10,18.90,9.28,0.72,1.65,1.48,5.78,4.65
114,Oxnard,California,78.64,21.36,15.49,0.65,1.07,0.94,3.21,2.17
115,Amarillo,Texas,82.85,17.15,11.67,0.24,1.22,1.27,2.75,5.35
116,Birmingham,Alabama,78.42,21.58,10.82,1.88,2.53,2.03,4.31,-5.41
117,Frisco,Texas,72.69,27.31,6.17,0.35,0.74,1.54,18.52,71.53
118,Montgomery,Alabama,83.39,16.61,9.48,0.45,1.00,0.74,4.94,-2.53
119,Huntington Beach,California,77.75,22.25,7.67,0.60,1.28,2.08,10.62,4.81
120,Salt Lake City,Utah,66.54,33.46,9.47,6.67,4.58,3.68,9.06,6.60
121,Grand Rapids,Michigan,73.95,26.05,10.52,3.33,3.90,1.95,6.35,5.56
122,Overland Park,Kansas,80.33,19.67,6.01,0.34,0.94,1.21,11.17,13.80
123,Glendale,California,74.82,25.18,5.82,2.92,3.52,2.27,10.66,2.67
124,Grand Prairie,Texas,80.16,19.84,11.80,0.33,0.67,1.86,5.18,11.90
125,Tallahassee,Florida,78.54,21.46,8.14,2.24,2.53,2.15,6.40,8.10
126,McKinney,Texas,78.18,21.82,6.56,0.37,0.54,2.36,11.99,48.77
127,Cape Coral,Florida,80.94,19.06,7.94,0.19,1.05,1.64,8.25,26.36
128,Sioux Falls,South Dakota,84.26,15.74,8.17,0.56,1.69,0.82,4.50,25.21
129,Peoria,Arizona,76.17,23.83,9.79,0.58,0.73,1.29,11.44,24.01
130,Vancouver,Washington,75.05,24.95,9.95,2.84,1.84,1.53,8.80,17.94
131,Akron,Ohio,78.91,21.09,11.15,3.09,1.61,0.83,4.42,-4.31
132,Providence,Rhode Island,67.69,32.31,11.67,5.40,5.61,2.94,6.68,6.88
133,Knoxville,Tennessee,78.85,21.15,8.99,1.49,3.32,0.98,6.36,6.23
134,Shreveport,Louisiana,84.35,15.65,8.76,1.56,1.10,0.97,3.24,-5.68
135,Mobile,Alabama,84.70,15.30,7.48,0.91,1.14,1.10,4.67,-4.24
136,Brownsville,Texas,81.88,18.12,9.59,0.93,1.43,1.52,4.65,6.62
137,Newport News,Virginia,79.91,20.09,9.17,2.44,1.98,2.22,4.29,3.06
138,Fort Lauderdale,Florida,75.49,24.51,8.26,3.22,1.64,3.00,8.39,10.45
139,Chattanooga,Tennessee,79.43,20.57,10.06,1.82,1.53,1.37,5.79,8.09
140,Aurora,Illinois,74.44,25.56,12.35,4.36,0.99,1.71,6.15,-8.70
141,Tempe,Arizona,69.51,30.49,8.92,4.00,3.21,5.90,8.46,11.16
142,Santa Rosa,California,77.45,22.55,10.86,1.72,1.68,2.28,6.02,6.16
143,Elk Grove,California,76.79,23.21,10.23,2.11,0.70,1.45,8.71,15.77
144,Ontario,California,80.63,19.37,12.00,1.25,0.81,1.15,4.17,7.07
145,Salem,Oregon,74.29,25.71,10.54,2.21,2.55,2.74,7.69,13.45
146,Cary,North Carolina,73.99,26.01,7.82,0.32,1.32,1.08,15.47,29.22
147,Eugene,Oregon,65.30,34.70,9.84,4.07,5.82,6.31,8.67,11.89
148,Rancho Cucamonga,California,80.47,19.53,9.38,1.47,0.59,1.01,7.08,5.66
149,Oceanside,California,76.13,23.87,8.87,2.38,1.06,3.03,8.53,4.35
150,Lancaster,California,80.54,19.46,10.46,1.89,0.61,1.21,5.30,10.64
151,Garden Grove,California,77.70,22.30,13.13,1.79,1.14,1.34,4.90,0.74
152,Pembroke Pines,Florida,84.84,15.16,7.42,0.72,0.42,0.97,5.63,10.61
153,Palmdale,California,76.67,23.33,12.93,1.68,0.47,2.14,6.11,11.24
154,Springfield,Missouri,80.85,19.15,9.38,1.31,1.95,1.39,5.12,6.44
155,Fort Collins,Colorado,70.37,29.63,6.77,2.01,3.56,5.72,11.58,17.35
156,Clarksville,Tennessee,86.46,13.54,7.36,0.69,0.56,1.35,3.58,25.36
157,Salinas,California,71.47,28.53,11.58,0.96,1.00,11.97,3.02,8.80
158,Hayward,California,68.71,31.29,13.84,8.79,0.94,1.78,5.94,13.49
159,Paterson,New Jersey,66.03,33.97,17.77,8.58,4.16,0.79,2.67,9.22
160,Alexandria,Virginia,56.65,43.35,7.61,18.56,3.43,2.83,10.92,13.93
161,Corona,California,79.87,20.13,9.98,1.33,0.95,2.46,5.41,3.21
162,Sunnyvale,California,67.73,32.27,10.29,5.98,1.64,3.11,11.25,11.57
163,Springfield,Massachusetts,76.78,23.22,9.35,4.42,2.65,2.16,4.64,1.86
164,Hollywood,Florida,77.11,22.89,10.25,2.83,1.71,3.24,4.86,8.73
165,Killeen,Texas,81.11,18.89,11.44,0.92,1.92,0.93,3.67,19.27
166,Murfreesboro,Tennessee,79.53,20.47,10.13,0.29,0.64,1.30,8.11,40.17
167,Bellevue,Washington,57.72,42.28,10.10,10.75,5.16,1.82,14.44,24.26
168,Pasadena,Texas,78.93,21.07,11.43,0.25,1.61,1.12,6.65,1.95
169,Pomona,California,73.44,26.56,15.96,2.47,1.41,1.89,4.83,1.67
170,Escondido,California,77.85,22.15,10.20,1.87,1.71,2.98,5.39,5.11
171,Charleston,South Carolina,76.99,23.01,6.34,0.91,3.52,3.18,9.07,25.35
172,Joliet,Illinois,83.52,16.48,8.38,1.84,0.93,1.11,4.23,1.98
173,Mesquite,Texas,78.65,21.35,14.71,0.59,0.73,0.95,4.37,7.50
174,Naperville,Illinois,68.92,31.08,4.28,9.68,1.03,1.08,15.02,5.34
175,Rockford,Illinois,78.56,21.44,11.90,1.72,1.81,1.53,4.48,-2.53
176,Bridgeport,Connecticut,68.67,31.33,13.47,10.39,2.90,1.90,2.67,3.09
177,Savannah,Georgia,72.36,27.64,10.33,4.13,3.58,3.17,6.44,8.66
178,Roseville,California,75.05,24.95,7.36,1.30,0.98,1.27,14.04,24.44
179,Syracuse,New York,65.94,34.06,9.30,7.68,8.36,3.06,5.65,1.51
180,Torrance,California,78.42,21.58,6.81,1.65,1.36,2.78,8.98,1.30
181,Fullerton,California,77.49,22.51,11.24,2.63,1.87,1.45,5.33,6.07
182,Surprise,Arizona,79.11,20.89,9.20,0.17,0.64,1.98,8.91,21.91
183,McAllen,Texas,76.09,23.91,12.55,0.48,0.64,4.34,5.90,9.52
184,Thornton,Colorado,77.28,22.72,10.19,3.09,0.79,0.77,7.88,19.50
185,Visalia,California,80.86,19.14,10.48,0.80,1.17,1.33,5.35,13.76
186,Denton,Texas,75.56,24.44,11.43,1.16,2.76,1.93,7.16,24.47
187,Kent,Washington,69.66,30.34,14.59,7.50,1.12,1.22,5.91,47.98
