#,Name,State,Population (2020),Population (2010),Population (2000),Population (1990),% Change (2010-2020),% Change (2000-2010),% Change (1990-2000)
154,Springfield,Missouri,169767,159498,151580,140494,6.44,5.22,7.89
155,Fort Collins,Colorado,168972,143986,118652,87758,17.35,21.35,35.20
156,Clarksville,Tennessee,166634,132929,103455,75494,25.36,28.49,37.04
157,Salinas,California,163687,150441,151060,108777,8.80,-0.41,38.87
158,Hayward,California,163635,144186,140030,111498,13.49,2.97,25.59
159,Paterson,New Jersey,159674,146199,149222,140891,9.22,-2.03,5.91
160,Alexandria,Virginia,159467,139966,128283,111183,13.93,9.11,15.38
161,Corona,California,157265,152374,124966,76095,3.21,21.93,64.22
162,Sunnyvale,California,156291,140081,131760,117229,11.57,6.32,12.40
163,Springfield,Massachusetts,155913,153060,152082,156983,1.86,0.64,-3.12
164,Hollywood,Florida,153061,140768,139357,121697,8.73,1.01,14.51
165,Killeen,Texas,152570,127921,86911,63535,19.27,47.19,36.79
166,Murfreesboro,Tennessee,152437,108755,68816,44922,40.17,58.04,53.19
167,Bellevue,Washington,152045,122363,109569,86874,24.26,11.68,26.12
168,Pasadena,Texas,151955,149043,141674,119363,1.95,5.20,18.69
169,Pomona,California,151554,149058,149473,131723,1.67,-0.28,13.48
170,Escondido,California,151271,143911,133559,108635,5.11,7.75,22.94
171,Charleston,South Carolina,150522,120083,96650,80414,25.35,24.25,20.19
172,Joliet,Illinois,150352,147433,106221,76836,1.98,38.80,38.24
173,Mesquite,Texas,150308,139824,124523,101484,7.50,12.29,22.70
174,Naperville,Illinois,149427,141853,128358,85351,5.34,10.51,50.39
175,Rockford,Illinois,149009,152871,150115,139426,-2.53,1.84,7.67
176,Bridgeport,Connecticut,148692,144229,139529,141686,3.09,3.37,-1.52
177,Savannah,Georgia,148095,136286,131510,137560,8.66,3.63,-4.40
178,Roseville,California,147817,118788,79921,44685,24.44,48.63,78.85
179,Syracuse,New York,147363,145170,147306,163860,1.51,-1.45,-10.10
180,Torrance,California,147323,145438,137946,133107,1.30,5.43,3.64
181,Fullerton,California,143367,135161,126003,114144,6.07,7.27,10.39
182,Surprise,Arizona,143261,117517,30848,7122,21.91,280.96,333.14
183,McAllen,Texas,142242,129877,106414,84021,9.52,22.05,26.65
184,Thornton,Colorado,141935,118772,82384,55031,19.50,44.17,49.70
185,Visalia,California,141561,124442,91565,75636,13.76,35.91,21.06
186,Denton,Texas,141123,113383,80537,66270,24.47,40.78,21.53
187,Kent,Washington,136750,92411,79524,37960,47.98,16.21,109.49
