#,Name,State,2010 Home Price,2020 Home Price,Relative Home Price to Income (2020),Relative Home Price to Income (2010),% Change in Home Price (2010-2020),Average Square Foot,% Change (2010-2020)
125,Tallahassee,Florida,170018,192738,4.15,4.73,13.36,1605.12,8.10
126,McKinney,Texas,211336,338009,3.35,2.86,59.94,2129.24,48.77
127,Cape Coral,Florida,133843,236031,3.82,2.99,76.35,1087.86,26.36
128,Sioux Falls,South Dakota,166258,230068,3.73,3.50,38.38,1738.27,25.21
129,Peoria,Arizona,177760,304690,3.99,3.30,71.41,1618.96,24.01
130,Vancouver,Washington,214845,359178,5.65,4.54,67.18,1464.34,17.94
131,Akron,Ohio,79204,80316,1.99,2.54,1.40,906.36,-4.31
132,Providence,Rhode Island,182539,246867,5.03,4.90,35.24,1112.45,6.88
133,Knoxville,Tennessee,160679,207969,5.00,5.37,29.43,1755.47,6.23
134,Shreveport,Louisiana,115807,112090,2.75,3.53,-3.21,1106.30,-5.68
135,Mobile,Alabama,134976,129837,2.99,3.61,-3.81,1557.72,-4.24
136,Brownsville,Texas,94900,106208,2.60,3.12,11.92,831.02,6.62
137,Newport News,Virginia,202563,190162,3.49,3.98,-6.12,1487.59,3.06
138,Fort Lauderdale,Florida,221068,343334,5.34,5.10,55.31,1226.96,10.45
139,Chattanooga,Tennessee,137517,183230,3.88,3.84,33.24,1636.46,8.09
140,Aurora,Illinois,166014,192950,2.58,2.73,16.23,1263.96,-8.70
141,Tempe,Arizona,185144,302163,4.93,4.10,63.20,1635.26,11.16
142,Santa Rosa,California,358408,593633,7.38,6.56,65.63,1236.42,6.16
143,Elk Grove,California,244179,460662,4.53,3.23,88.66,1646.82,15.77
144,Ontario,California,229060,445691,6.62,4.26,94.57,1785.06,7.07
145,Salem,Oregon,201364,309500,5.27,4.69,53.70,1714.31,13.45
146,Cary,North Carolina,294499,391687,3.64,3.35,33.00,2680.41,29.22
147,Eugene,Oregon,240458,342326,6.50,5.91,42.36,1734.48,11.89
148,Rancho Cucamonga,California,321600,539755,5.85,4.20,67.83,2278.72,5.66
149,Oceanside,California,333512,553910,7.35,5.34,66.08,1293.62,4.35
150,Lancaster,California,151145,308485,5.28,2.99,104.10,577.42,10.64
151,Garden Grove,California,407398,648836,8.81,6.68,59.26,1326.93,0.74
152,Pembroke Pines,Florida,183488,316051,4.60,3.00,72.25,1085.95,10.61
153,Palmdale,California,162983,335935,5.13,3.07,106.12,626.78,11.24
154,Springfield,Missouri,117249,148360,3.96,4.09,26.53,1619.57,6.44
155,Fort Collins,Colorado,247336,426345,6.05,5.18,72.37,2159.23,17.35
156,Clarksville,Tennessee,156247,189541,3.40,3.61,21.31,1839.30,25.36
157,Salinas,California,261855,522106,7.69,5.49,99.39,926.67,8.80
158,Hayward,California,319706,682628,7.46,5.34,113.52,1048.47,13.49
159,Paterson,New Jersey,254632,302022,6.69,7.94,18.61,1220.73,9.22
160,Alexandria,Virginia,424837,543750,5.32,5.46,27.99,2458.34,13.93
161,Corona,California,296536,506827,5.73,4.01,70.92,2125.30,3.21
162,Sunnyvale,California,767569,1659932,11.03,8.03,116.26,2190.89,11.57
163,Springfield,Massachusetts,150200,178753,4.30,4.26,19.01,1142.20,1.86
164,Hollywood,Florida,164491,292796,5.39,3.99,78.00,994.10,8.73
165,Killeen,Texas,123315,139866,2.78,2.59,13.42,1530.12,19.27
166,Murfreesboro,Tennessee,168900,269031,4.43,3.74,59.28,1646.36,40.17
167,Bellevue,Washington,536486,1022004,7.89,6.66,90.50,3658.43,24.26
168,Pasadena,Texas,108021,164158,2.84,2.62,51.97,1115.49,1.95
169,Pomona,California,248294,455603,7.30,5.41,83.49,884.29,1.67
170,Escondido,California,329131,541817,8.29,7.64,64.62,1269.60,5.11
171,Charleston,South Carolina,252170,344716,4.78,5.36,36.70,1639.80,25.35
172,Joliet,Illinois,138116,152856,2.10,2.53,10.67,1024.55,1.98
173,Mesquite,Texas,110956,193322,3.18,2.40,74.23,1179.37,7.50
174,Naperville,Illinois,350354,397774,3.12,3.55,13.53,2634.25,5.34
175,Rockford,Illinois,100683,97299,2.17,2.78,-3.36,1477.48,-2.53
176,Bridgeport,Connecticut,175250,203569,4.29,4.50,16.16,662.27,3.09
177,Savannah,Georgia,163919,181360,3.93,5.03,10.64,1569.45,8.66
178,Roseville,California,297824,490742,5.14,4.26,64.78,1842.44,24.44
179,Syracuse,New York,101293,119402,3.07,3.42,17.88,1239.86,1.51
180,Torrance,California,605338,878277,9.27,8.74,45.09,1863.84,1.30
181,Fullerton,California,471689,670076,7.84,7.22,42.06,1434.38,6.07
182,Surprise,Arizona,155285,277419,3.90,2.72,78.65,1452.03,21.91
183,McAllen,Texas,102678,148973,3.02,2.50,45.09,1398.06,9.52
184,Thornton,Colorado,212061,398091,4.93,3.39,87.72,1794.56,19.50
185,Visalia,California,174148,252105,3.78,3.38,44.76,1590.50,13.76
186,Denton,Texas,155681,252052,4.03,3.51,61.90,1580.36,24.47
187,Kent,Washington,278123,442287,5.99,5.71,59.03,1691.10,47.98
